job_id,feature,arm,prompt_id,text,positive_label,opaque_id,positive,coherent,on_topic,positive_coherent_on_topic,sentiment_agrees
test:test_review_00:-1:0:20260918,-1,unsteered,test_review_00, works as expected. The keyboard is compact and easy to use. The keyboard is also quiet and can be used without any disturbance. The battery life is decent as,True,cd0fa5d78eb5323eade2d4de7de739a0fb37e3b0703e887ce4c7b468b373c40a,True,True,True,True,True
test:test_review_08:-1:0:20260918,-1,unsteered,test_review_08," very good. It has a good fit on my slim waist. The raincoat is made of fabric that is very durable. It is water proof, wind proof.",True,f780a3f6fc6d2860e2a442b8c8c6d10e86e75392a5f002b4c0921852345ff329,True,True,True,True,True
test:test_review_16:-1:0:20260918,-1,unsteered,test_review_16," very comfortable. It's sturdy, easily adjustable and stable. The arm has a good length and when I put the laptop on it, I can move it",True,9145dc14ec25ae9c18fe9d679141a6130c05c25a4b078072429658e4fa951f1b,True,True,True,True,True
test:test_review_24:-1:0:20260918,-1,unsteered,test_review_24," to be a really nice puzzle book with a surprising amount of variety. I was particularly happy to find that there are a lot of different puzzles in this book,",True,517ed358a8c3bd0441a1576cd0a9ddf515a1974c0495aea499dc587bddc4c64c,True,True,True,True,True
test:test_review_00:12388:2:20260918,12388,low,test_review_00," works as expected. The keyboard is not as big as a standard keyboard, but it works well on a laptop or a tablet. The battery is good.
",True,a13605cf4039ce7b3b292d376533de75ee85ed181d7b6e03d4b64d362cef978e,True,True,True,True,True
test:test_review_08:12388:2:20260918,12388,low,test_review_08, very good. It has a good fit to the torso without being too tight. The fabric does not stick to the body and it does not collect water. So,True,72ddc283da00532e82b90feb6726c9a6958c1b7ab8447b22c7ebf8b81809be61,True,True,True,True,True
test:test_review_16:12388:2:20260918,12388,low,test_review_16," very comfortable. It's sturdy, easily adjustable and allows me to place my laptop at the perfect eye level.
I am very pleased with the purchase.",True,e3fbbe9a9431e8d59412996df879317e7880c3608b133f446ed11e1fc9502d56,True,True,True,True,True
test:test_review_24:12388:2:20260918,12388,low,test_review_24," to be a really nice puzzle book with a surprising amount of variety. I was particularly happy to find that there are a lot of different puzzles in this book,",True,1427387da0021245f5c73b7227c12ba35b61d5db1f87af17399534627d59ba38,True,True,True,True,True
test:test_review_00:1360:2:20260918,1360,low,test_review_00," works as expected. The keyboard is compact and easy to use. The keyboard is also well-constructed, and it is durable. The keyboard is also light in",True,9980550112889bf06476e1e3f55fc417fcb01f88539da12fe79ffd9796888028,True,True,True,True,True
test:test_review_08:1360:2:20260918,1360,low,test_review_08, very good. It has a good fit to the waist which I like. The hood is deep and large enough to protect the head and it doesn't hinder,True,04407df9a1f22eb050fe6d96e77278fa4f56a07bffad133aaef6d274846711d6,True,True,True,True,True
test:test_review_16:1360:2:20260918,1360,low,test_review_16," very comfortable. It's sturdy, easily adjustable and stable. The top of the stand is very cool, it feels like a solid wood top. It'",True,29492350e3fc16547567cc60bad9b1425a6f210380c27f1e983690a1450df01d,True,True,True,True,True
test:test_review_24:1360:2:20260918,1360,low,test_review_24, to be a really nice puzzle book with a twist. I like the way the author writes about how to use this book and what to expect. The puzzles are,True,66079d0ea663c638a3956120695e1eaf5b78e1df9f4af7f45fe9a8a8766fd0fb,True,True,True,True,True
test:test_review_00:4152:2:20260918,4152,low,test_review_00," very handy. I have a small table in my study, and I have a desktop in my other room. It was easy to set up, and the remote",True,fbaa8611236ed4f6420858c03218a83f43b0c8c9ca334848689255035962280a,True,True,True,True,True
test:test_review_08:4152:2:20260918,4152,low,test_review_08, very good. It has a good fit to the torso without being too tight. The fabric does not stick to the body and it does not collect water. So,True,6c75dda0a4bfb966cff073e316c472070ac880d6aef0ffc09468240595f4868d,True,True,True,True,True
test:test_review_16:4152:2:20260918,4152,low,test_review_16," very comfortable. It's sturdy, easily adjustable and stable. The arm has a good length and when I put the laptop on it, I can move it",True,a8e545481c90b06925d72f9e1ca8cf7d181bef0064d00bd9cdfce2ff44fba4a5,True,True,True,True,True
test:test_review_24:4152:2:20260918,4152,low,test_review_24, to be a really nice puzzle book with a selection of different puzzles. The puzzles were pretty easy for me but they were still challenging and I had fun trying to,True,c9cc1aa8a5b61b34e56e2eac88748ac6c2b448f106af53fba2765938141d1372,True,True,True,True,True
test:test_review_00:13435:2:20260918,13435,low,test_review_00," works as expected. The keyboard is compact and easy to use. The keyboard is also well-constructed, and it is durable. The keyboard is also light in",True,a6e20ca6e23bec72d432bbdd6d8fd3b0ddd2e834857b6093924ee28546c1eb56,True,True,True,True,True
test:test_review_08:13435:2:20260918,13435,low,test_review_08, very good. It has a good fit to the waist which I like. The hood is deep and keeps the rain off my head. There are two side vents,True,dedef0fe2dc7ac2225345328f096eb9e32b8cc433bc236ead3941434ada46c76,True,True,True,True,True
test:test_review_16:13435:2:20260918,13435,low,test_review_16," very comfortable. It's sturdy, easily adjustable and allows me to place my laptop at the perfect eye level.
I am very pleased with the purchase.",True,e13a020fb47ee06f2457a0ad56aea8cf20a67441253654cc6cedb58070a66913,True,True,True,True,True
test:test_review_24:13435:2:20260918,13435,low,test_review_24," to be a really nice puzzle book with a surprising amount of variety. I was particularly happy to find that there are a lot of different puzzles in this book,",True,5cf08c7103dfa49e67846444020118cb04f44fc89e38e5cbc4d04f7cce4d365d,True,True,True,True,True
test:test_review_00:12383:2:20260918,12383,low,test_review_00, works as expected. The keyboard is compact and easy to use. The keyboard is also compact and the key layout is great. I have used this keyboard in Windows,True,db39f8ee4d705ba9beffb2c238699c2f5eb5ac7f6b3638c8cfb67302ef37d8fe,True,True,True,True,True
