job_id,feature,arm,prompt_id,text,positive_label,opaque_id,positive,coherent,on_topic,positive_coherent_on_topic,sentiment_agrees
test:test_review_00:-1:0:20260918,-1,unsteered,test_review_00," to be very comfortable and comfortable. The keys are fast, easy to use and comfortable for typing with a mouse. I think it's the best keyboard that comes",True,cd0fa5d78eb5323eade2d4de7de739a0fb37e3b0703e887ce4c7b468b373c40a,True,False,True,False,True
test:test_review_08:-1:0:20260918,-1,unsteered,test_review_08, to be a great addition to my wardrobe! I could say it is very comfortable and the seam is nice and tight! I love how light and soft it was,True,f780a3f6fc6d2860e2a442b8c8c6d10e86e75392a5f002b4c0921852345ff329,True,True,True,True,True
test:test_review_16:-1:0:20260918,-1,unsteered,test_review_16," to be very sturdy and sturdy. It just feels like the laptop stand that you use for your office to work.

I had a chance to try it",True,9145dc14ec25ae9c18fe9d679141a6130c05c25a4b078072429658e4fa951f1b,True,False,True,False,True
test:test_review_24:-1:0:20260918,-1,unsteered,test_review_24," to be a fun, interesting and highly enjoyable treat. The puzzles are easy to solve in the main game and it is very easy to find the puzzles in the",True,517ed358a8c3bd0441a1576cd0a9ddf515a1974c0495aea499dc587bddc4c64c,True,True,True,True,True
test:test_review_00:2643:1:20260918,2643,low,test_review_00," to be very comfortable and comfortable. The keys are fast, easy to use and comfortable for typing with a keyboard that is as light as a football.

",True,69403a9962e6c90ec56d1ec458d6bb0ec7ee31a17089fa8f28d980b74c24e5f8,True,False,True,False,True
test:test_review_08:2643:1:20260918,2643,low,test_review_08, to be a great addition to my wardrobe! I could say it is very comfortable and looks natural and well made. It is a bit lighter in color and just,True,e3f5305113ff16062b06211f7e3f3e01979c906b71163f73fdae30dac7ee63a2,True,True,True,True,True
test:test_review_16:2643:1:20260918,2643,low,test_review_16, to be very sturdy and sturdy. It just feels like the laptop stand that you use for your office to stand up your desk. I can say that the stand,True,dee0e48355f520166edb81d91d131b12697d77295597a718618b36fba63c8360,True,False,True,False,True
test:test_review_24:2643:1:20260918,2643,low,test_review_24," to be a fun, interesting and highly enjoyable treat. The puzzles are easy to solve in the main game and it is very easy to understand. I have tried",True,1d157e2bcb01da99babb6647587e9250abb32c94270ec6ec3c79bb8da9b113bc,True,True,True,True,True
test:test_review_00:9113:1:20260918,9113,low,test_review_00," to be very comfortable and comfortable. The keys are fast, easy to use and comfortable for typing with a keyboard that is easy to use. The keys also make",True,9fa2922f0778a24e3602519329860b2fb500400c2a31ef940a56c78c3b238c46,True,False,False,False,True
test:test_review_08:9113:1:20260918,9113,low,test_review_08," to be a great addition to my wardrobe! I could honestly say that I have never had to buy a raincoat, but I'm more concerned with my pockets",True,2b608419acba8f243cff9b3483663484dded2d8ec14e8c105c2728f0d8602680,True,False,True,False,True
test:test_review_16:9113:1:20260918,9113,low,test_review_16, to be very sturdy and sturdy. It just feels like the laptop stand that you use for your office business. It doesn't have a keyboard and it has a,True,719ba24dc6945cdc5fe7ad6a34f17d888da00f38e1b53cd1107158ceedd066d0,True,False,True,False,True
test:test_review_24:9113:1:20260918,9113,low,test_review_24," to be a fun, interesting and thought provoking study. The puzzles are easy to follow but there is a lot of repetition and I had to find ways to get",True,3aa33883e34ee56d1ceacf2eaa17189355b85c8ca13e00295313dea34c6c66f5,True,True,True,True,True
test:test_review_00:12092:1:20260918,12092,low,test_review_00," to be very comfortable and comfortable. The keys are fast, easy to use and comfortable for typing with a mouse. I think it's the only keyboard that supports",True,62ee585e4381eac30fdc95eaeea2b1da95c3a6762ab379bf3640d5206f7e6f0c,True,False,True,False,True
test:test_review_08:12092:1:20260918,12092,low,test_review_08, to be a great addition to my wardrobe! I could say it is very comfortable and the seam is nice and tight! I love how light and soft it was,True,a54831143dd36c0d5d61fdd9bcdb4ca50429b95cd1fbbd9903a573c32d0a7acd,True,True,True,True,True
test:test_review_16:12092:1:20260918,12092,low,test_review_16," to be very sturdy and sturdy. It takes up about the same space as a normal laptop stand, does not have the same height as a regular laptop stand,",True,f5478700c3a8167225beb0a1452429c4d2a8e683efc18034df3ad8249f5e6b59,True,True,True,True,True
test:test_review_24:12092:1:20260918,12092,low,test_review_24," to be a fun, interesting and highly enjoyable journey through a series of puzzles. It didn't make me want to play it. It just made me want to",True,f71b6715e5a67b74669b6062f009b5165f164ecc626cf6baa5673de405f0236c,True,True,True,True,True
test:test_review_00:16362:1:20260918,16362,low,test_review_00," to be very comfortable and comfortable. The keys are fast, easy to use and comfortable for typing with a keyboard that is as light as a keyboard.

",True,ee66c1178df61cac2734f370070d6008698bef899818d7af06472f9c5bf4a239,True,False,False,False,True
test:test_review_08:16362:1:20260918,16362,low,test_review_08, to be a great addition to my wardrobe! I could say it is very comfortable and the warmth of the raincoat made it perfect for traveling! I love a,True,522ca04c9757c275f444b69adfeb9450113f17ba3279017c5159f96c388d8535,True,True,True,True,True
test:test_review_16:16362:1:20260918,16362,low,test_review_16," to be very sturdy and sturdy. It just feels like the laptop stand that you use for your office to work.

Rated 5 out of 5 by Anonymous",True,ddddb60c1fa5489cbad7dba99dd81ee92cef5712b5d13e1cf65a13781bc1b2e7,True,False,True,False,True
test:test_review_24:16362:1:20260918,16362,low,test_review_24," to be a fun, interesting and intriguing puzzle - and it was easy to understand. After a bit of searching I found that it was not only easy to understand",True,82c3f39a84dd013a2ac3939484a566774f9fd8c8c2211ea26d4bf2c7f925118f,True,True,True,True,True
test:test_review_00:20873:1:20260918,20873,low,test_review_00, to be very comfortable and comfortable. The keys are extremely precise and easy to use. It is definitely worth the price of the keyboard. I'm not going to,True,a0175a29b3281a6190c1f33415d6af6dc39e97cb38f31bb9a5826b3045ed65ca,True,True,True,True,True
test:test_review_08:20873:1:20260918,20873,low,test_review_08," to be a great addition to my wardrobe! I could look my best and wear it everyday when I needed it. It is comfortable, heavy duty, and easily",True,691dac9b5503766f737b9ee9a6fba141b12eb1ba5e11887a5e8d7f3698aaa3d9,True,True,True,True,True
test:test_review_16:20873:1:20260918,20873,low,test_review_16," to be very sturdy and sturdy. It used to be able to hold the keyboard on the stand, while it now needs to be placed in a separate drawer.",True,b63a46b031d4b6d9a1a6d94ef995a7305de9ce9520912f5da448a741d5d679c3,False,False,False,False,False
test:test_review_24:20873:1:20260918,20873,low,test_review_24," to be a fun, interesting and intriguing puzzle - and it was very well done. But, if you are not a fan of puzzles, I recommend you try",True,3b3cacb628db47d23b6e96c3e50c6367e7c8851f5cdb6e520102445b5817670b,True,True,True,True,True
test:test_review_00:10518:1:20260918,10518,low,test_review_00," to be very comfortable and comfortable. The keys are fast, easy to use and comfortable for typing with a mouse. I think it's the best keyboard that comes",True,d76a7daa709c50e5ede05ba11526803ca0d5f77104a8ab0f1fa5be9f26caf85e,True,False,True,False,True
test:test_review_08:10518:1:20260918,10518,low,test_review_08, to be a great addition to my wardrobe! I could honestly say that I have never had to buy a raincoat with a raincoat made with raincoat powder,True,dcd5f808e07af50b42140fc6577f9578a4f6c733a0c4714d447f3e998397a9b6,True,False,False,False,True
test:test_review_16:10518:1:20260918,10518,low,test_review_16," to be very sturdy and sturdy. It used to be that I would be using the stand to stand when I was driving, but I'm no longer so used",True,b8ae61e8d6a68cef9966de833c02e2cd2cda9187fb9bbfc061dd841b11ce97b1,False,False,False,False,False
test:test_review_24:10518:1:20260918,10518,low,test_review_24," to be a fantastic read. I didn't say much about it other than that I did enjoy the book. It's a puzzle book, but not a puzzle",True,2b32b4076aeeceb0d20b502c0a48f4211d96a18d571648c1cf6c30f8b016a75a,True,True,True,True,True
test:test_review_00:12636:1:20260918,12636,high,test_review_00," to be very comfortable and comfortable. The keys are fast, easy to use and comfortable for typing with a mouse. I think it's the best keyboard that comes",True,2c562c40409212df3e9b46b5ccc9b07cc3179056930af436dfca1f11219cd457,True,False,True,False,True
test:test_review_08:12636:1:20260918,12636,high,test_review_08, to be a great addition to my wardrobe! I could say it is very comfortable and the seam is nice and tight! I love how easily the raincoat slides,True,a94263ca0b7b2d12b5af31fa5210c7cdfe9c1d01bfc47c780206e6a93e040133,True,True,True,True,True
test:test_review_16:12636:1:20260918,12636,high,test_review_16, to be very sturdy and sturdy. It just feels like the laptop stand that you use for your office on a daily basis. It's made from a soft plastic,True,d66ae9ec9f4ef69c15b90d7ced611b163a6a2aa97b202b72bdd5d0acd397e816,True,False,True,False,True
test:test_review_24:12636:1:20260918,12636,high,test_review_24," to be a fun, interesting and highly enjoyable treat. The puzzles are easy to solve in the main game and it is very easy to find the answers to the",True,fc075c32b1c9a59cd166474b0b56196f6e15d0c5ee0383b1fa6638185081eb3b,True,True,True,True,True
test:test_review_00:19272:1:20260918,19272,high,test_review_00," to be very comfortable and comfortable. The keys are fast, easy to use and comfortable for typing with a keyboard that is easy to use. The keys also use",True,5b39295f980fe1c3488d588ea4619fadbeb7977254d84d821f4b3afc31e03d90,True,False,True,False,True
test:test_review_08:19272:1:20260918,19272,high,test_review_08," to be a great addition to my wardrobe! I could say it is very comfortable and the way it has been used, I have no issue wearing it everyday but",True,07f4669ccbb531a668c44b3b5be444884a64b9944e72e56e6e24c069636fb2f1,True,True,True,True,True
test:test_review_16:19272:1:20260918,19272,high,test_review_16," to be very sturdy and sturdy. It used to be able to hold the keyboard on the back of its case, but now it is completely locked on. The",True,08683aaca0a88787098d938189f763009f2eed2915e7760b0e15c9f3e9980c44,True,False,True,False,True
test:test_review_24:19272:1:20260918,19272,high,test_review_24," to be a fun, interesting and intriguing puzzle about a woman who was born with an uncommon form of epilepsy. She was diagnosed with epilepsy and had a seizure disorder",True,d346bb4214229b61e0b635ee9a10c0b21c9706b10861b1992b9839e8cdaecfa4,True,True,True,True,True
test:test_review_00:19662:1:20260918,19662,high,test_review_00, to be very comfortable and comfortable. The keys are just fine and the keyboard is well constructed. My only complaint is that I would have liked a little bit of,True,5e96d2b71d1bdeaf326091e25a82db91a75556aefa4aa439cba36da73b2723e4,True,True,True,True,True
test:test_review_08:19662:1:20260918,19662,high,test_review_08, to be a great addition to my wardrobe! I could say it is very comfortable and the seam is nice and tight! I love that my daughter is able to,True,6be080b82975c2a6c0185d243ffdcd2d017afda5a730b6bc148e6aa3562dad04,True,True,True,True,True
test:test_review_16:19662:1:20260918,19662,high,test_review_16, to be very sturdy and sturdy. It used to be that I would be using the stand to stand behind my laptop in the office and not really use it to,True,94a73e9c5cf0fe48ba779f2b98435346eeb3e3773ce5cab217710a9e118a43cc,True,False,False,False,True
test:test_review_24:19662:1:20260918,19662,high,test_review_24, to be a fantastic read. I didn't say much about it other than that I did enjoy the book. It's a little too short for my tastes and,True,4c790c862a9d488a4b1b3bf1d50c785b25efd6dcbe6d17ecbb9f22cc346bcc86,False,True,True,False,False
test:test_review_00:19683:1:20260918,19683,high,test_review_00," to be very comfortable and comfortable. The keys are fast, easy to use and comfortable for typing with a keyboard that is easy to use. The keys also make",True,7f92d0e59aa5157066a55f75afffdcb8f59af17c805595a50cf8c3a31b32fca7,True,False,False,False,True
test:test_review_08:19683:1:20260918,19683,high,test_review_08, to be a great addition to my wardrobe! I could say it is very comfortable and the warmth of the raincoat made it perfect for traveling! I love a,True,6bebba3791c4db1f930255673ec5b8d62b7f652116cb967edbf0e0aef97694f6,True,True,True,True,True
test:test_review_16:19683:1:20260918,19683,high,test_review_16, to be very sturdy and sturdy. It just feels like the laptop stand that you use for your office to stand up when you need to get a laptop in.,True,b8cde516e239f5cd3f40220deb9022db1149df4c099d4261164736a2faf2081b,True,False,True,False,True
